   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   1.000000e+00    1.732484e-02    4.331211e-03    1.000000e-02    4.331211e-01    1.000000e+00    1.000000e+00    0.000000e+00    3.313451e-03
   2.000000e+00    1.973267e-02    2.466584e-03    1.000000e-02    2.466584e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.711540e-03
   3.000000e+00    2.018809e-02    1.682341e-03    1.000000e-02    1.682341e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.924314e-04
   4.000000e+00    2.018195e-02    1.261372e-03    1.000000e-02    1.261372e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.173870e-03
   5.000000e+00    2.003175e-02    1.001587e-03    1.000000e-02    1.001587e-01    1.000000e+00    1.000000e+00    0.000000e+00   -3.533531e-03
   6.000000e+00    2.017412e-02    8.405885e-04    1.000000e-02    8.405885e-02    1.000000e+00    1.000000e+00    0.000000e+00   -9.217301e-03
   7.000000e+00    2.020705e-02    7.216802e-04    1.000000e-02    7.216802e-02    1.000000e+00    1.000000e+00    0.000000e+00   -6.583736e-03
   8.000000e+00    2.004783e-02    6.264946e-04    1.000000e-02    6.264946e-02    1.000000e+00    1.000000e+00    0.000000e+00   -8.370640e-03
   9.000000e+00    1.989753e-02    5.527091e-04    1.000000e-02    5.527091e-02    1.000000e+00    1.000000e+00    0.000000e+00   -5.043105e-03
   1.000000e+01    1.995600e-02    4.988999e-04    1.000000e-02    4.988999e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.269309e-03
   1.100000e+01    2.003720e-02    4.553909e-04    1.000000e-02    4.553909e-02    1.000000e+00    1.000000e+00    0.000000e+00    7.207729e-03
   1.200000e+01    1.997513e-02    4.161486e-04    1.000000e-02    4.161486e-02    1.000000e+00    1.000000e+00    0.000000e+00   -2.350920e-03
   1.300000e+01    2.014158e-02    3.873380e-04    1.000000e-02    3.873380e-02    1.000000e+00    1.000000e+00    0.000000e+00    8.748397e-03
   1.400000e+01    1.991779e-02    3.556748e-04    1.000000e-02    3.556748e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.850686e-03
   1.500000e+01    2.004357e-02    3.340595e-04    1.000000e-02    3.340595e-02    1.000000e+00    1.000000e+00    0.000000e+00    5.134612e-03
   1.600000e+01    2.025911e-02    3.165485e-04    1.000000e-02    3.165485e-02    1.000000e+00    1.000000e+00    0.000000e+00    7.916503e-03
   1.700000e+01    2.019857e-02    2.970378e-04    1.000000e-02    2.970378e-02    1.000000e+00    1.000000e+00    0.000000e+00   -3.750003e-03
   1.800000e+01    2.012933e-02    2.795740e-04    1.000000e-02    2.795740e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.165059e-02
   1.900000e+01    2.007567e-02    2.641536e-04    1.000000e-02    2.641536e-02    1.000000e+00    1.000000e+00    0.000000e+00    8.794580e-03
   2.000000e+01    2.025159e-02    2.531449e-04    1.000000e-02    2.531449e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.088431e-02
   2.100000e+01    2.004101e-02    2.385835e-04    1.000000e-02    2.385835e-02    1.000000e+00    1.000000e+00    0.000000e+00   -3.095970e-03
   2.200000e+01    2.022050e-02    2.297784e-04    1.000000e-02    2.297784e-02    1.000000e+00    1.000000e+00    0.000000e+00    8.960770e-03
