   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   1.000000e+00    3.923672e-02    9.809181e-03    1.000000e-02    9.809181e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.812427e-03
   2.000000e+00    7.833772e-02    9.792215e-03    1.000000e-02    9.792215e-01    1.000000e+00    1.000000e+00    0.000000e+00   -9.048897e-03
   3.000000e+00    1.166337e-01    9.719478e-03    1.000000e-02    9.719478e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.582970e-03
   4.000000e+00    1.541306e-01    9.633164e-03    1.000000e-02    9.633164e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.357114e-03
   5.000000e+00    1.912726e-01    9.563632e-03    1.000000e-02    9.563632e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.511018e-03
   6.000000e+00    2.261215e-01    9.421730e-03    1.000000e-02    9.421730e-01    1.000000e+00    1.000000e+00    0.000000e+00    3.196024e-03
   7.000000e+00    2.617689e-01    9.348888e-03    1.000000e-02    9.348888e-01    1.000000e+00    1.000000e+00    0.000000e+00   -3.696374e-03
   8.000000e+00    2.961320e-01    9.254125e-03    1.000000e-02    9.254125e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.710206e-03
   9.000000e+00    3.298586e-01    9.162739e-03    1.000000e-02    9.162739e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.182745e-03
   1.000000e+01    3.624459e-01    9.061147e-03    1.000000e-02    9.061147e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.709981e-03
   1.100000e+01    3.930525e-01    8.933012e-03    1.000000e-02    8.933012e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.789121e-05
   1.200000e+01    4.239143e-01    8.831548e-03    1.000000e-02    8.831548e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.654090e-03
   1.300000e+01    4.561956e-01    8.772993e-03    1.000000e-02    8.772993e-01    1.000000e+00    1.000000e+00    0.000000e+00   -9.827871e-03
   1.400000e+01    4.854084e-01    8.668007e-03    1.000000e-02    8.668007e-01    1.000000e+00    1.000000e+00    0.000000e+00   -7.283828e-03
   1.500000e+01    5.154348e-01    8.590580e-03    1.000000e-02    8.590580e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.901050e-03
   1.600000e+01    5.473195e-01    8.551867e-03    1.000000e-02    8.551867e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.301803e-03
   1.700000e+01    5.772934e-01    8.489608e-03    1.000000e-02    8.489608e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.668656e-03
   1.800000e+01    6.039703e-01    8.388477e-03    1.000000e-02    8.388477e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.738386e-03
   1.900000e+01    6.313458e-01    8.307181e-03    1.000000e-02    8.307181e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.040120e-03
   2.000000e+01    6.601491e-01    8.251864e-03    1.000000e-02    8.251864e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.513558e-03
   2.100000e+01    6.866115e-01    8.173946e-03    1.000000e-02    8.173946e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.161109e-03
