   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   1.000000e+00    3.773383e-02    9.433456e-03    1.000000e-02    9.433456e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.918474e-03
   2.000000e+00    7.247333e-02    9.059167e-03    1.000000e-02    9.059167e-01    1.000000e+00    1.000000e+00    0.000000e+00   -8.763792e-03
   3.000000e+00    1.039003e-01    8.658356e-03    1.000000e-02    8.658356e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.060213e-03
   4.000000e+00    1.322573e-01    8.266082e-03    1.000000e-02    8.266082e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.503404e-03
   5.000000e+00    1.582337e-01    7.911685e-03    1.000000e-02    7.911685e-01    1.000000e+00    1.000000e+00    0.000000e+00    9.585834e-04
   6.000000e+00    1.804481e-01    7.518672e-03    1.000000e-02    7.518672e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.445181e-03
   7.000000e+00    2.018427e-01    7.208668e-03    1.000000e-02    7.208668e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.039316e-03
   8.000000e+00    2.205791e-01    6.893096e-03    1.000000e-02    6.893096e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.408359e-03
   9.000000e+00    2.375632e-01    6.598979e-03    1.000000e-02    6.598979e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.933175e-03
   1.000000e+01    2.526596e-01    6.316490e-03    1.000000e-02    6.316490e-01    1.000000e+00    1.000000e+00    0.000000e+00   -9.664138e-04
   1.100000e+01    2.652946e-01    6.029422e-03    1.000000e-02    6.029422e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.622887e-03
   1.200000e+01    2.774404e-01    5.780008e-03    1.000000e-02    5.780008e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.239250e-03
   1.300000e+01    2.900953e-01    5.578755e-03    1.000000e-02    5.578755e-01    1.000000e+00    1.000000e+00    0.000000e+00   -9.433827e-03
   1.400000e+01    2.994878e-01    5.347997e-03    1.000000e-02    5.347997e-01    1.000000e+00    1.000000e+00    0.000000e+00   -5.751529e-03
   1.500000e+01    3.089620e-01    5.149366e-03    1.000000e-02    5.149366e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.556426e-03
   1.600000e+01    3.196215e-01    4.994086e-03    1.000000e-02    4.994086e-01    1.000000e+00    1.000000e+00    0.000000e+00    6.225812e-03
   1.700000e+01    3.281814e-01    4.826196e-03    1.000000e-02    4.826196e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.422612e-03
   1.800000e+01    3.339779e-01    4.638582e-03    1.000000e-02    4.638582e-01    1.000000e+00    1.000000e+00    0.000000e+00    8.181961e-03
   1.900000e+01    3.405521e-01    4.480949e-03    1.000000e-02    4.480949e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.800698e-03
   2.000000e+01    3.476853e-01    4.346067e-03    1.000000e-02    4.346067e-01    1.000000e+00    1.000000e+00    0.000000e+00    7.798871e-03
   2.100000e+01    3.523505e-01    4.194649e-03    1.000000e-02    4.194649e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.264857e-03
   2.200000e+01    3.552956e-01    4.037450e-03    1.000000e-02    4.037450e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.887369e-04
